13,57,71
238,30,4
112,180,218
130,121,75
73,162,43
21,52,25
111,73,111
143,116,253
203,186,164
145,120,177
193,234,96
250,174,225
234,185,109
9,217,133
109,150,100
199,243,253
85,35,123
108,6,111
64,66,156
56,116,100
223,183,67
236,109,2
91,71,250
198,130,106
133,146,10
89,76,185
96,118,77
200,142,134
199,171,121
25,73,210
243,23,100
44,34,73
123,76,59
27,34,99
53,21,160
76,39,238
62,34,10
109,208,67
154,192,15
19,22,85
246,103,55
246,158,241
198,251,45
4,129,38
215,174,216
179,52,231
166,55,153
120,172,202
233,171,52
170,68,166
140,143,43
226,135,100
93,88,12
44,65,21
237,81,15
144,111,134
165,157,147
12,127,138
230,227,182
194,162,43
213,213,82
55,37,173
230,201,231
228,237,54
221,128,161
198,115,186
230,6,192
53,49,202
43,201,213
147,255,166
31,180,193
7,85,239
233,64,83
108,254,146
255,45,147
57,86,244
194,175,154
2,147,172
227,138,53
3,127,190
8,185,203
220,24,121
189,239,137
160,154,241
110,36,48
88,235,115
183,115,24
28,20,110
130,185,85
139,84,107
226,98,104
208,78,4
107,45,97
222,140,160
163,182,27
139,108,241
173,227,218
147,20,244
206,174,103
162,221,172
123,171,197
48,31,14
97,152,137
214,166,182
69,253,19
82,49,38
50,184,251
86,109,220
88,202,52
182,1,227
104,136,126
68,53,6
142,134,17
55,225,29
199,91,241
152,168,78
218,203,136
62,69,199
138,47,104
220,123,67
20,151,182
103,15,63
79,96,58
152,148,22
34,70,69
157,87,69
161,166,234
98,99,255
73,58,157
213,94,145
13,103,58
6,224,192
44,52,31
77,99,31
15,252,230
121,187,150
181,245,224
105,84,85
1,25,121
246,157,152
117,186,154
177,55,58
66,220,222
161,58,235
184,205,170
127,23,246
84,121,99
142,232,131
151,244,43
159,123,79
219,70,46
224,99,160
164,93,199
164,226,242
84,173,81
13,211,234
42,127,140
107,190,152
214,127,187
69,160,169
182,230,35
26,1,175
139,92,35
47,83,173
178,28,69
122,156,200
126,54,231
94,241,22
240,143,187
128,105,51
200,138,105
45,235,99
138,121,235
177,117,50
225,223,173
201,35,62
162,242,39
89,202,40
103,127,211
177,162,39
224,94,216
104,95,238
32,68,62
196,117,56
201,106,39
204,204,134
172,48,146
228,25,116
142,194,33
44,199,207
91,10,148
153,144,119
144,34,216
42,184,197
130,108,193
9,123,4
3,115,136
51,121,193
157,36,219
250,221,115
5,28,229
106,246,218
199,211,27
184,42,101
179,51,245
223,220,25
163,28,141
24,156,192
240,194,143
179,64,23
1,243,244
64,179,97
44,177,182
222,154,133
155,170,6
191,27,39
207,188,0
170,6,88
221,87,233
251,138,74
247,4,141
166,79,167
54,121,52
238,79,231
17,103,176
204,189,123
11,12,201
70,55,135
224,217,141
33,208,131
49,209,209
86,249,119
229,3,146
57,174,143
143,144,85
153,164,3
249,72,41
89,71,205
114,45,147
55,98,82
173,251,160
115,122,55
165,14,101
83,105,135
62,120,96
110,35,44
183,226,72
189,220,201
215,134,206
181,21,201
113,174,37
188,121,100
104,240,95
174,1,131
253,33,253
97,99,242
165,175,83
121,180,243
115,251,142
236,96,93
178,118,165
238,95,190
48,138,136
125,154,193
182,88,38
35,196,178
94,198,40
159,65,191
98,170,200
113,154,40
61,254,16
176,31,195
22,178,107
85,203,30
26,206,68
235,103,37
147,70,120
91,91,215
22,106,53
115,99,71
198,2,25
169,213,243
39,198,84
245,89,153
192,88,118
145,84,55
135,206,243
166,243,127
210,103,119
179,152,142
254,254,197
95,65,47
72,66,176
44,124,84
252,255,64
169,163,48
118,21,13
130,104,78
139,162,212
80,47,146
255,144,91
28,159,34
125,204,77
110,58,172
208,210,99
62,20,98
111,119,74
106,32,239
202,230,64
175,146,142
89,142,200
213,250,115
150,142,38
155,7,26
17,50,130
128,147,197
183,117,15
191,21,85
183,139,71
192,74,189
26,188,217
194,98,228
115,136,49
233,85,47
121,207,34
162,217,102
180,189,254
85,72,173
90,86,45
32,253,107
139,35,16
85,81,140
236,16,79
120,113,92
125,60,158
125,99,70
140,130,121
183,219,43
133,203,252
20,165,214
96,14,49
63,157,28
18,231,229
165,33,154
166,219,110
11,190,189
67,219,67
0,95,222
79,103,109
190,170,51
137,62,92
160,10,200
229,121,145
221,65,170
166,101,187
175,25,22
92,248,67
59,116,70
177,49,145
3,202,164
99,211,175
48,221,52
186,58,217
203,91,184
76,244,152
171,103,249
116,236,43
130,160,196
35,132,50
63,252,152
36,213,159
98,113,253
220,7,53
201,187,54
168,6,107
251,229,76
10,224,55
220,21,235
200,241,138
180,223,98
39,134,192
177,185,208
192,86,101
149,180,52
20,252,185
169,230,142
210,226,172
87,26,143
103,183,172
199,95,45
49,177,130
26,116,66
138,8,73
190,174,234
174,4,142
255,57,112
134,130,216
237,54,223
44,232,201
31,192,52
218,155,67
139,176,57
5,116,3
230,244,28
220,49,98
37,110,19
120,154,213
190,103,222
34,169,185
180,109,243
78,247,18
179,168,82
55,35,153
82,119,235
234,68,223
46,142,76
70,77,103
154,150,121
177,160,15
125,27,8
83,228,29
149,174,129
126,72,219
254,178,31
244,41,41
149,14,167
171,242,149
147,12,125
131,38,235
95,25,71
236,133,198
132,199,136
193,212,66
209,255,220
134,152,212
245,199,83
186,71,92
213,203,224
71,42,161
50,168,72
224,105,21
24,92,155
181,71,127
161,142,152
63,150,6
121,122,187
111,173,110
52,178,85
45,249,60
238,123,206
2,127,93
111,6,68
162,98,103
115,172,245
162,130,161
105,90,123
180,183,110
252,96,141
202,98,192
174,242,208
236,136,156
2,140,109
213,108,183
110,63,96
197,176,104
18,236,6
10,37,135
216,95,151
76,89,122
122,68,149
204,8,171
206,204,222
167,247,238
251,245,81
225,167,122
115,199,19
100,230,43
18,244,17
59,184,141
224,155,158
251,72,106
130,125,106
221,148,53
86,29,251
143,250,171
66,127,37
55,201,191
221,39,109
212,236,108
188,155,12
84,219,197
7,182,93
130,174,91
50,144,106
186,96,10
130,217,34
84,209,134
26,8,150
104,35,44
26,204,243
27,136,50
85,123,158
24,177,153
51,79,239
5,52,142
84,105,250
235,198,117
193,6,215
187,216,152
109,138,233
107,31,23
100,21,135
